A;B;Customers
AUM  - 01;Remmitances_Out  + 02;30404
Remmitances_In  - 01;CSI  + 02;30299
Card_Purchases  - 06;ATM_Trans_Days  + 07;30297
Branch_Transaction_Days  - 01;Remmitances_Out  + 02;30285
Public_Sector_Payments  + 01;Remmitances_Out  - 02;30256
Branch_Transaction_Days  - 02;ATM_Trans_Days  + 03;30092
AUM  - 01;Remmitances_In  + 02;30088
Card_Purchases  + 03;EBanking_Usage  + 04;30079
CSI  - 01;Tax_Payments  + 02;30036
ATM_Trans_Days  - 02;Branch_Transaction_Days  + 03;30025
Public_Sector_Payments  - 01;CSI  + 02;30010
CSI  - 01;Remmitances_In  + 02;30000
Card_Purchases  + 07;AUM  + 08;29981
ATM_Trans_Days  - 01;EBanking_Usage  + 02;29866
CSI  - 03;Card_Purchases  + 04;29862
Branch_Transaction_Days  + 01;Public_Sector_Payments  - 02;29825
Total_Loan_Balances  - 01;Public_Sector_Payments  + 02;29813
Card_Purchases  - 07;Card_Purchases  - 08;29810
CSI  - 01;Remmitances_Out  + 02;29793
Tax_Payments  - 01;CSI  + 02;29776
AUM  + 08;AUM  + 09;29764
Salary  + 01;Remmitances_Out  - 02;29719
Tax_Payments  + 01;Tax_Payments  - 02;29677
Tax_Payments  - 01;Branch_Transaction_Days  + 02;29671
CSI  + 05;Card_Purchases  + 06;29658
CSI  + 01;Branch_Transaction_Days  - 02;29584
Tax_Payments  - 01;Total_Loan_Balances  + 02;29576
Branch_Transaction_Days  + 02;AUM  + 03;29550
CSI  + 03;AUM  - 04;29536
ATM_Trans_Days  + 08;AUM  + 09;29499
Total_Loan_Balances  + 01;Remmitances_Out  - 02;29384
Remmitances_In  + 01;AUM  - 02;29368
Salary  + 02;AUM  + 03;29315
Card_Purchases  - 08;ATM_Trans_Days  - 09;29287
AUM  - 01;Branch_Transaction_Days  - 02;29282
Tax_Payments  + 01;Remmitances_Out  - 02;29244
Card_Purchases  - 03;CSI  - 04;29206
AUM  - 09;AUM  - 10;29190
AUM  - 07;Card_Purchases  - 08;29137
Salary  - 01;Total_Loan_Balances  + 02;29130
Remmitances_Out  - 01;Branch_Transaction_Days  + 02;29111
Branch_Transaction_Days  - 03;Branch_Transaction_Days  + 04;29111
Salary  - 01;Public_Sector_Payments  + 02;29110
Remmitances_Out  - 01;CSI  + 02;29010
Total_Loan_Balances  + 01;Remmitances_In  - 02;28983
AUM  + 04;Card_Purchases  - 05;28981
Tax_Payments  + 01;Remmitances_In  - 02;28908
Card_Purchases  - 03;AUM  - 04;28901
Debit_Cards_Prepaid_Cards  + 03;Card_Purchases  + 04;28899
Card_Purchases  - 03;CSI  + 04;28880
Tax_Payments  - 01;Salary  + 02;28821
Salary  + 01;Remmitances_In  - 02;28655
Total_Loan_Balances  - 01;Tax_Payments  + 02;28643
Salary  - 01;Tax_Payments  + 02;28544
Tax_Payments  - 01;Tax_Payments  + 02;28475
Remmitances_Out  + 01;AUM  - 02;28441
CSI  - 03;AUM  + 04;28427
AUM  - 03;CSI  + 04;28414
Public_Sector_Payments  + 04;AUM  - 05;28374
Public_Sector_Payments  + 01;Remmitances_In  - 02;28368
Public_Sector_Payments  - 01;Branch_Transaction_Days  + 02;28348
CSI  - 01;Card_Purchases  - 02;28340
Tax_Payments  - 01;Public_Sector_Payments  + 02;28311
Salary  + 01;Salary  - 02;28245
ATM_Trans_Days  - 03;CSI  + 04;28245
Total_Loan_Balances  - 01;Salary  + 02;28244
ATM_Trans_Days  + 01;Salary  - 02;28238
Remmitances_In  - 01;Branch_Transaction_Days  + 02;28216
Card_Purchases  - 04;AUM  - 05;28204
AUM  + 08;Card_Purchases  + 09;28201
EBanking_Usage  + 04;Card_Purchases  + 05;28191
CSI  - 02;Salary  - 03;28189
CSI  + 02;EBanking_Usage  + 03;28130
Remmitances_Out  - 01;Salary  + 02;28112
AUM  - 02;Branch_Transaction_Days  - 03;28103
CSI  - 01;EBanking_Usage  + 02;28070
Remmitances_Out  + 01;Remmitances_In  - 02;28055
Remmitances_Out  - 01;Total_Loan_Balances  + 02;27997
Branch_Transaction_Days  - 02;Card_Purchases  + 03;27979
Salary  - 01;Remmitances_Out  + 02;27868
AUM  + 10;AUM  - 11;27843
Remmitances_Out  - 01;Public_Sector_Payments  + 02;27836
CSI  - 06;CSI  + 07;27799
Card_Purchases  - 02;Public_Sector_Payments  + 03;27784
CSI  - 01;AUM  - 02;27778
Remmitances_In  + 01;Remmitances_Out  - 02;27727
ATM_Trans_Days  - 08;AUM  - 09;27712
Branch_Transaction_Days  + 01;Tax_Payments  - 02;27703
Public_Sector_Payments  - 01;Total_Loan_Balances  + 02;27700
AUM  + 08;ATM_Trans_Days  - 09;27694
Remmitances_Out  - 01;Tax_Payments  + 02;27682
Public_Sector_Payments  - 01;Salary  + 02;27664
CSI  - 02;ATM_Trans_Days  - 03;27588
Public_Sector_Payments  + 05;AUM  - 06;27584
CSI  - 03;ATM_Trans_Days  + 04;27578
Total_Loan_Balances  - 01;Remmitances_Out  + 02;27558
Tax_Payments  - 01;Remmitances_Out  + 02;27547
ATM_Trans_Days  + 09;AUM  - 10;27535
Public_Sector_Payments  - 01;Tax_Payments  + 02;27458
CSI  + 01;Active_Payroll_Pension  + 02;27362
ATM_Trans_Days  + 06;Card_Purchases  - 07;27357
Card_Purchases  - 07;AUM  + 08;27328
Branch_Transaction_Days  + 01;Total_Loan_Balances  - 02;27286
EBanking_Usage  + 03;AUM  - 04;27161
CSI  + 01;Active_GS  + 02;27103
AUM  - 04;Public_Sector_Payments  + 05;27074
Branch_Transaction_Days  - 03;AUM  + 04;27062
ATM_Trans_Days  + 03;EBanking_Usage  + 04;27047
CSI  + 04;AUM  + 05;27026
Card_Purchases  + 01;Salary  - 02;26990
Remmitances_Out  - 01;Remmitances_Out  + 02;26989
Remmitances_In  - 01;Salary  + 02;26965
Card_Purchases  + 06;Card_Purchases  - 07;26920
Tax_Payments  + 01;ATM_Trans_Days  - 02;26913
Remmitances_In  - 01;Total_Loan_Balances  + 02;26910
ATM_Trans_Days  - 09;ATM_Trans_Days  + 10;26822
EBanking_Usage  + 04;ATM_Trans_Days  + 05;26784
Card_Purchases  - 02;Branch_Transaction_Days  + 03;26761
CSI  + 04;AUM  - 05;26760
Active_GS  + 01;ATM_Trans_Days  + 02;26723
EBanking_Usage  + 01;ATM_Trans_Days  - 02;26718
Public_Sector_Payments  - 01;Remmitances_Out  + 02;26682
AUM  + 05;Card_Purchases  - 06;26668
CSI  + 01;Tax_Payments  - 02;26662
Remmitances_In  - 01;Tax_Payments  + 02;26651
AUM  - 09;ATM_Trans_Days  - 10;26639
AUM  - 03;Branch_Transaction_Days  + 04;26583
AUM  + 02;Branch_Transaction_Days  - 03;26555
Total_Loan_Balances  - 03;Total_Loan_Balances  + 04;26555
CSI  + 05;ATM_Trans_Days  + 06;26547
Total_Loan_Balances  + 02;Total_Loan_Balances  - 03;26529
Debit_Cards_Prepaid_Cards  + 01;AUM  + 02;26528
CSI  - 03;ATM_Trans_Days  - 04;26515
Active_Payroll_Pension  + 01;ATM_Trans_Days  + 02;26448
Card_Purchases  - 05;AUM  - 06;26427
Card_Purchases  + 07;ATM_Trans_Days  - 08;26414
AUM  + 01;Active_Payroll_Pension  + 02;26293
Card_Purchases  + 01;Active_Payroll_Pension  + 02;26273
AUM  + 03;EBanking_Usage  + 04;26260
Salary  - 01;Remmitances_In  + 02;26219
Remmitances_In  - 01;Remmitances_Out  + 02;26185
Card_Purchases  + 04;EBanking_Usage  + 05;26146
ATM_Trans_Days  - 04;Public_Sector_Payments  + 05;26142
CSI  + 03;CSI  - 04;26118
AUM  + 01;Active_GS  + 02;26071
Card_Purchases  + 01;Active_GS  + 02;26060
Salary  + 01;Public_Sector_Payments  - 02;26020
Total_Loan_Balances  + 01;ATM_Trans_Days  - 02;25994
Total_Loan_Balances  - 01;Remmitances_In  + 02;25986
Tax_Payments  + 01;Public_Sector_Payments  - 02;25981
ATM_Trans_Days  - 01;Branch_Transaction_Days  - 02;25978
Total_Loan_Balances  + 01;Public_Sector_Payments  - 02;25956
ATM_Trans_Days  + 01;Active_Payroll_Pension  + 02;25953
Card_Purchases  + 01;Branch_Transaction_Days  + 02;25936
ATM_Trans_Days  + 01;Branch_Transaction_Days  + 02;25905
ATM_Trans_Days  - 09;ATM_Trans_Days  - 10;25793
Tax_Payments  - 01;Remmitances_In  + 02;25767
Remmitances_In  - 02;AUM  + 03;25743
ATM_Trans_Days  + 01;Active_GS  + 02;25739
ATM_Trans_Days  - 09;AUM  + 10;25732
Branch_Transaction_Days  + 03;AUM  - 04;25717
CSI  + 01;Total_Loan_Balances  - 02;25698
ATM_Trans_Days  + 01;Total_Loan_Balances  - 02;25673
AUM  + 03;Public_Sector_Payments  + 04;25638
AUM  - 08;Card_Purchases  - 09;25533
Public_Sector_Payments  - 01;Remmitances_In  + 02;25504
Remmitances_Out  - 01;Remmitances_In  + 02;25481
Public_Sector_Payments  - 02;Card_Purchases  + 03;25480
AUM  + 02;CSI  - 03;25471
AUM  + 03;CSI  + 04;25470
Card_Purchases  - 03;Public_Sector_Payments  + 04;25470
Remmitances_In  + 01;Public_Sector_Payments  - 02;25461
Salary  + 01;ATM_Trans_Days  - 02;25450
Card_Purchases  - 01;EBanking_Usage  + 02;25407
CSI  + 02;CSI  + 03;25387
ATM_Trans_Days  - 03;CSI  - 04;25321
ATM_Trans_Days  + 02;CSI  - 03;25321
Remmitances_Out  - 02;Card_Purchases  + 03;25274
Branch_Transaction_Days  - 01;CSI  - 02;25260
Tax_Payments  + 01;Card_Purchases  - 02;25231
AUM  - 01;EBanking_Usage  + 02;25223
ATM_Trans_Days  - 07;Card_Purchases  + 08;25210
CSI  + 01;Branch_Transaction_Days  + 02;25185
EBanking_Usage  + 04;AUM  - 05;25143
AUM  - 02;Salary  + 03;25142
Card_Purchases  + 08;Card_Purchases  + 09;25119
Branch_Transaction_Days  + 01;Salary  - 02;25104
EBanking_Usage  + 03;AUM  + 04;25096
AUM  - 09;ATM_Trans_Days  + 10;25052
Tax_Payments  - 02;ATM_Trans_Days  + 03;25042
AUM  - 04;CSI  + 05;25033
Remmitances_In  - 01;Remmitances_In  + 02;24989
Remmitances_Out  + 01;Public_Sector_Payments  - 02;24958
Branch_Transaction_Days  - 03;ATM_Trans_Days  + 04;24957
Card_Purchases  - 01;Debit_Cards_Prepaid_Cards  - 02;24947
Branch_Transaction_Days  + 01;Active_Payroll_Pension  + 02;24909
ATM_Trans_Days  + 03;CSI  + 04;24888
AUM  - 08;Card_Purchases  + 09;24851
Card_Purchases  - 08;Card_Purchases  - 09;24802
Branch_Transaction_Days  + 01;Active_GS  + 02;24691
Branch_Transaction_Days  + 04;AUM  - 05;24673
Public_Sector_Payments  - 02;ATM_Trans_Days  + 03;24649
CSI  + 05;AUM  - 06;24635
Public_Sector_Payments  + 01;Tax_Payments  - 02;24634
AUM  + 04;Public_Sector_Payments  + 05;24505
AUM  + 06;Card_Purchases  - 07;24497
Tax_Payments  + 01;Branch_Transaction_Days  - 02;24443
Card_Purchases  + 01;Total_Loan_Balances  - 02;24411
Salary  - 02;Salary  + 03;24366
CSI  + 05;AUM  + 06;24339
Public_Sector_Payments  + 01;Active_Payroll_Pension  + 02;24332
Start;Active_GS  - 01;24267
ATM_Trans_Days  - 04;CSI  + 05;24261
ATM_Trans_Days  - 09;Card_Purchases  - 10;24234
EBanking_Usage  + 01;Active_Payroll_Pension  + 02;24209
AUM  - 05;Branch_Transaction_Days  + 06;24125
Public_Sector_Payments  + 01;Active_GS  + 02;24124
ATM_Trans_Days  - 03;Branch_Transaction_Days  + 04;24095
ATM_Trans_Days  + 04;EBanking_Usage  + 05;24058
Total_Loan_Balances  + 01;Active_Payroll_Pension  + 02;24051
Public_Sector_Payments  - 02;AUM  + 03;24051
Card_Purchases  - 04;CSI  + 05;24033
Branch_Transaction_Days  + 03;AUM  + 04;24028
EBanking_Usage  - 02;EBanking_Usage  + 03;24025
EBanking_Usage  + 01;Active_GS  + 02;24013
Branch_Transaction_Days  - 04;Branch_Transaction_Days  + 05;23975
Tax_Payments  - 02;Card_Purchases  + 03;23973
Total_Loan_Balances  + 01;Card_Purchases  - 02;23958
Salary  + 01;Active_Payroll_Pension  + 02;23927
Card_Purchases  - 06;AUM  - 07;23913
Tax_Payments  + 01;Active_Payroll_Pension  + 02;23895
Remmitances_Out  - 02;ATM_Trans_Days  + 03;23892
Total_Loan_Balances  + 01;Active_GS  + 02;23828
Tax_Payments  + 01;CSI  - 02;23789
ATM_Trans_Days  - 02;Tax_Payments  + 03;23777
Remmitances_In  + 01;ATM_Trans_Days  - 02;23721
Salary  + 01;Active_GS  + 02;23704
Tax_Payments  - 02;AUM  + 03;23689
Remmitances_Out  + 01;Active_Payroll_Pension  + 02;23684
Tax_Payments  + 01;Active_GS  + 02;23681
Branch_Transaction_Days  + 02;Card_Purchases  + 03;23676
Start;Active_Payroll_Pension  - 01;23671
AUM  - 04;Branch_Transaction_Days  + 05;23649
ATM_Trans_Days  - 02;Salary  + 03;23636
Card_Purchases  - 04;CSI  - 05;23633
Salary  - 02;AUM  + 03;23600
CSI  + 06;Card_Purchases  + 07;23564
Total_Loan_Balances  + 01;Tax_Payments  - 02;23551
CSI  + 01;Salary  - 02;23536
Remmitances_Out  + 01;Active_GS  + 02;23478
Remmitances_In  + 01;Active_Payroll_Pension  + 02;23465
Remmitances_In  - 02;Card_Purchases  + 03;23443
Card_Purchases  - 01;Branch_Transaction_Days  - 02;23418
EBanking_Usage  + 05;AUM  - 06;23368
Public_Sector_Payments  + 01;Salary  - 02;23361
Remmitances_In  + 01;CSI  - 02;23360
Debit_Cards_Prepaid_Cards  + 02;AUM  + 03;23359
Card_Purchases  - 08;Card_Purchases  + 09;23305
Remmitances_In  + 01;Active_GS  + 02;23258
CSI  - 02;Branch_Transaction_Days  + 03;23253
Total_Loan_Balances  + 01;Branch_Transaction_Days  - 02;23209
Salary  + 01;Tax_Payments  - 02;23205
Branch_Transaction_Days  - 02;CSI  + 03;23203
Branch_Transaction_Days  + 05;AUM  - 06;23148
Card_Purchases  - 07;ATM_Trans_Days  + 08;23119
Branch_Transaction_Days  - 03;Card_Purchases  + 04;23011
Card_Purchases  + 09;AUM  - 10;22998
Total_Loan_Balances  - 02;AUM  + 03;22990
AUM  - 05;CSI  + 06;22958
Salary  - 04;Salary  + 05;22956
ATM_Trans_Days  + 09;ATM_Trans_Days  - 10;22935
AUM  + 07;Card_Purchases  - 08;22892
Branch_Transaction_Days  + 02;ATM_Trans_Days  + 03;22867
Remmitances_In  - 02;ATM_Trans_Days  + 03;22806
Salary  - 02;ATM_Trans_Days  + 03;22782
Salary  - 03;Salary  + 04;22772
Public_Sector_Payments  - 02;Public_Sector_Payments  + 03;22689
Public_Sector_Payments  + 01;Total_Loan_Balances  - 02;22689
Card_Purchases  + 05;EBanking_Usage  + 06;22677
Public_Sector_Payments  + 04;ATM_Trans_Days  - 05;22664
Salary  + 01;CSI  - 02;22664
Card_Purchases  - 08;AUM  + 09;22658
Branch_Transaction_Days  - 04;AUM  + 05;22657
AUM  - 03;Branch_Transaction_Days  - 04;22640
Total_Loan_Balances  + 01;CSI  - 02;22622
EBanking_Usage  + 05;Card_Purchases  + 06;22611
Remmitances_Out  + 01;ATM_Trans_Days  - 02;22570
ATM_Trans_Days  - 02;Branch_Transaction_Days  - 03;22540
EBanking_Usage  + 05;ATM_Trans_Days  + 06;22517
AUM  + 09;ATM_Trans_Days  + 10;22463
AUM  + 02;Branch_Transaction_Days  + 03;22461
Card_Purchases  + 02;CSI  + 03;22459
Card_Purchases  + 08;AUM  + 09;22444
ATM_Trans_Days  + 04;CSI  + 05;22436
ATM_Trans_Days  + 09;AUM  + 10;22434
Active_Payroll_Pension  - 02;Salary  - 03;22405
Card_Purchases  + 02;CSI  - 03;22391
ATM_Trans_Days  + 07;Card_Purchases  - 08;22365
EBanking_Usage  - 01;CSI  + 02;22351
ATM_Trans_Days  + 02;Branch_Transaction_Days  - 03;22271
Card_Purchases  - 02;Debit_Cards_Prepaid_Cards  - 03;22250
Remmitances_Out  + 01;CSI  - 02;22249
CSI  + 06;ATM_Trans_Days  + 07;22230
Salary  + 01;Branch_Transaction_Days  - 02;22140
Public_Sector_Payments  + 04;Branch_Transaction_Days  - 05;22129
CSI  + 06;AUM  + 07;22118
Salary  + 01;Card_Purchases  - 02;22110
ATM_Trans_Days  + 05;EBanking_Usage  + 06;22094
Branch_Transaction_Days  + 06;AUM  - 07;22091
EBanking_Usage  + 01;EBanking_Usage  - 02;22075
Branch_Transaction_Days  - 02;ATM_Trans_Days  - 03;22067
Total_Loan_Balances  - 01;Total_Loan_Balances  - 02;22029
Remmitances_Out  + 01;Tax_Payments  - 02;22017
Remmitances_Out  + 01;Branch_Transaction_Days  - 02;21963
AUM  + 03;Branch_Transaction_Days  - 04;21963
Public_Sector_Payments  + 03;Branch_Transaction_Days  - 04;21944
CSI  - 01;CSI  - 02;21930
Remmitances_In  + 01;Card_Purchases  - 02;21896
Card_Purchases  + 07;Card_Purchases  - 08;21886
Public_Sector_Payments  + 03;AUM  - 04;21852
Total_Loan_Balances  + 01;Total_Loan_Balances  + 02;21820
Public_Sector_Payments  + 01;Branch_Transaction_Days  + 02;21809
Branch_Transaction_Days  - 04;ATM_Trans_Days  + 05;21788
Active_GS  - 02;Salary  - 03;21779
CSI  - 04;Card_Purchases  + 05;21772
CSI  - 02;AUM  - 03;21753
Remmitances_Out  - 02;AUM  + 03;21734
Remmitances_In  + 01;Tax_Payments  - 02;21690
Card_Purchases  - 02;Tax_Payments  + 03;21667
Total_Loan_Balances  - 04;Total_Loan_Balances  + 05;21648
ATM_Trans_Days  + 09;ATM_Trans_Days  + 10;21583
AUM  - 03;CSI  - 04;21566
AUM  + 04;EBanking_Usage  + 05;21561
Total_Loan_Balances  + 04;Total_Loan_Balances  - 05;21537
Card_Purchases  - 01;EBanking_Usage  - 02;21532
Salary  - 02;Card_Purchases  + 03;21515
Card_Purchases  - 02;EBanking_Usage  - 03;21487
AUM  - 06;Branch_Transaction_Days  + 07;21462
Card_Purchases  - 09;ATM_Trans_Days  - 10;21459
AUM  + 04;CSI  + 05;21419
Remmitances_In  + 01;Branch_Transaction_Days  - 02;21378
ATM_Trans_Days  - 03;Salary  - 04;21358
Active_Payroll_Pension  + 02;Card_Purchases  + 03;21345
Total_Loan_Balances  + 03;Total_Loan_Balances  - 04;21342
Card_Purchases  - 07;AUM  - 08;21325
ATM_Trans_Days  - 01;EBanking_Usage  - 02;21315
Public_Sector_Payments  + 02;Branch_Transaction_Days  - 03;21308
EBanking_Usage  - 03;EBanking_Usage  + 04;21266
ATM_Trans_Days  - 02;EBanking_Usage  - 03;21247
ATM_Trans_Days  - 05;CSI  + 06;21226
ATM_Trans_Days  - 02;EBanking_Usage  + 03;21222
EBanking_Usage  + 01;Card_Purchases  - 02;21195
Salary  + 03;Card_Purchases  + 04;21193
Active_GS  + 02;Card_Purchases  + 03;21169
Tax_Payments  + 01;Salary  - 02;21129
ATM_Trans_Days  - 03;Tax_Payments  + 04;21125
AUM  + 09;AUM  + 10;21087
CSI  - 02;Card_Purchases  - 03;21084
ATM_Trans_Days  - 04;CSI  - 05;21023
Total_Loan_Balances  + 01;Salary  - 02;21022
Branch_Transaction_Days  + 04;AUM  + 05;21015
Remmitances_Out  + 01;Card_Purchases  - 02;20983
CSI  - 01;Debit_Cards_Prepaid_Cards  + 02;20948
Salary  + 03;ATM_Trans_Days  + 04;20917
AUM  - 02;Tax_Payments  + 03;20897
AUM  - 04;Branch_Transaction_Days  - 05;20893
Branch_Transaction_Days  - 05;Branch_Transaction_Days  + 06;20877
Card_Purchases  - 04;Public_Sector_Payments  + 05;20869
EBanking_Usage  - 01;Card_Purchases  - 02;20801
CSI  + 04;CSI  - 05;20765
AUM  + 02;Salary  + 03;20759
Debit_Cards_Prepaid_Cards  - 02;CSI  + 03;20748
AUM  - 02;EBanking_Usage  + 03;20684
Salary  - 03;AUM  + 04;20667
Total_Loan_Balances  - 02;ATM_Trans_Days  + 03;20641
CSI  + 06;AUM  - 07;20621
Public_Sector_Payments  + 05;ATM_Trans_Days  - 06;20619
AUM  + 02;Public_Sector_Payments  + 03;20577
EBanking_Usage  + 01;Remmitances_Out  - 02;20577
CSI  - 02;Public_Sector_Payments  + 03;20522
ATM_Trans_Days  - 03;EBanking_Usage  - 04;20521
Salary  - 04;AUM  + 05;20505
Branch_Transaction_Days  - 02;AUM  - 03;20478
Remmitances_Out  + 01;Salary  - 02;20460
CSI  - 04;ATM_Trans_Days  + 05;20451
Branch_Transaction_Days  - 05;AUM  + 06;20444
Total_Loan_Balances  - 02;Card_Purchases  + 03;20443
Card_Purchases  - 03;Branch_Transaction_Days  + 04;20435
Total_Loan_Balances  + 05;Total_Loan_Balances  - 06;20433
AUM  - 03;Salary  + 04;20413
Card_Purchases  - 02;Salary  + 03;20402
Public_Sector_Payments  + 04;AUM  + 05;20394
Card_Purchases  - 05;CSI  - 06;20347
ATM_Trans_Days  - 02;Total_Loan_Balances  + 03;20328
Card_Purchases  + 09;ATM_Trans_Days  + 10;20315
Salary  - 04;ATM_Trans_Days  + 05;20310
CSI  - 02;Debit_Cards_Prepaid_Cards  + 03;20302
EBanking_Usage  + 02;ATM_Trans_Days  - 03;20297
CSI  - 07;CSI  + 08;20293
EBanking_Usage  + 01;CSI  - 02;20293
ATM_Trans_Days  + 03;Branch_Transaction_Days  - 04;20289
CSI  - 03;Card_Purchases  - 04;20277
Salary  - 03;ATM_Trans_Days  + 04;20262
Debit_Cards_Prepaid_Cards  - 01;CSI  + 02;20243
Remmitances_In  + 01;Salary  - 02;20241
Tax_Payments  + 01;Total_Loan_Balances  - 02;20213
Debit_Cards_Prepaid_Cards  + 03;ATM_Trans_Days  + 04;20192
Debit_Cards_Prepaid_Cards  + 04;Card_Purchases  + 05;20175
ATM_Trans_Days  - 04;Branch_Transaction_Days  + 05;20174
CSI  - 01;Salary  - 02;20141
Card_Purchases  - 05;CSI  + 06;20118
CSI  - 01;Branch_Transaction_Days  - 02;20116
CSI  + 02;ATM_Trans_Days  - 03;20099
Salary  - 01;ATM_Trans_Days  - 02;20093
CSI  - 04;AUM  + 05;20085
Branch_Transaction_Days  + 03;Card_Purchases  + 04;20055
Total_Loan_Balances  - 05;Total_Loan_Balances  + 06;20036
Branch_Transaction_Days  + 03;ATM_Trans_Days  + 04;20031
EBanking_Usage  + 06;AUM  - 07;20018
ATM_Trans_Days  + 05;CSI  + 06;19958
Card_Purchases  - 02;Branch_Transaction_Days  - 03;19956
AUM  - 02;Total_Loan_Balances  + 03;19940
CSI  - 03;AUM  - 04;19907
EBanking_Usage  - 04;EBanking_Usage  + 05;19889
AUM  + 04;Branch_Transaction_Days  - 05;19886
EBanking_Usage  - 01;ATM_Trans_Days  - 02;19843
Card_Purchases  + 08;ATM_Trans_Days  - 09;19834
Card_Purchases  - 02;Total_Loan_Balances  + 03;19834
Branch_Transaction_Days  + 02;ATM_Trans_Days  - 03;19778
Branch_Transaction_Days  + 02;Branch_Transaction_Days  - 03;19722
ATM_Trans_Days  - 03;Branch_Transaction_Days  - 04;19716
Branch_Transaction_Days  - 05;ATM_Trans_Days  + 06;19649
Branch_Transaction_Days  + 07;AUM  - 08;19629
Branch_Transaction_Days  + 05;AUM  + 06;19579
AUM  - 05;Branch_Transaction_Days  - 06;19577
AUM  - 04;CSI  - 05;19570
ATM_Trans_Days  + 04;Branch_Transaction_Days  - 05;19550
Card_Purchases  + 02;Salary  + 03;19541
Branch_Transaction_Days  - 04;Card_Purchases  + 05;19513
Public_Sector_Payments  + 04;ATM_Trans_Days  + 05;19510
ATM_Trans_Days  + 06;EBanking_Usage  + 07;19479
ATM_Trans_Days  - 08;Card_Purchases  + 09;19440
ATM_Trans_Days  + 09;Card_Purchases  + 10;19423
ATM_Trans_Days  - 09;AUM  - 10;19381
Salary  + 03;AUM  + 04;19374
Salary  - 04;ATM_Trans_Days  - 05;19360
AUM  + 03;Branch_Transaction_Days  + 04;19325
ATM_Trans_Days  - 03;Salary  + 04;19324
Total_Loan_Balances  + 06;Total_Loan_Balances  - 07;19304
Card_Purchases  - 03;EBanking_Usage  - 04;19280
EBanking_Usage  + 04;AUM  + 05;19202
Public_Sector_Payments  + 02;AUM  - 03;19188
Public_Sector_Payments  + 05;AUM  + 06;19168
Branch_Transaction_Days  + 06;AUM  + 07;19137
AUM  + 02;Remmitances_Out  - 03;19076
AUM  - 05;Tax_Payments  + 06;19029
AUM  + 09;ATM_Trans_Days  - 10;19021
Remmitances_In  + 01;Total_Loan_Balances  - 02;18986
Debit_Cards_Prepaid_Cards  - 03;CSI  + 04;18985
Branch_Transaction_Days  - 01;EBanking_Usage  + 02;18977
Branch_Transaction_Days  + 04;ATM_Trans_Days  + 05;18969
Salary  + 01;Total_Loan_Balances  - 02;18968
Card_Purchases  + 02;Branch_Transaction_Days  - 03;18929
Card_Purchases  + 06;EBanking_Usage  + 07;18906
Public_Sector_Payments  + 05;ATM_Trans_Days  + 06;18866
Remmitances_Out  + 01;Total_Loan_Balances  - 02;18859
AUM  + 05;EBanking_Usage  + 06;18843
AUM  + 05;CSI  + 06;18836
ATM_Trans_Days  - 01;Debit_Cards_Prepaid_Cards  - 02;18819
EBanking_Usage  + 06;ATM_Trans_Days  + 07;18802
AUM  - 06;CSI  + 07;18775
AUM  - 05;CSI  - 06;18769
Branch_Transaction_Days  - 03;AUM  - 04;18764
ATM_Trans_Days  - 05;CSI  - 06;18757
Salary  + 04;ATM_Trans_Days  + 05;18756
AUM  - 03;Salary  - 04;18738
Branch_Transaction_Days  - 02;Card_Purchases  - 03;18733
Card_Purchases  + 01;Total_Loan_Balances  + 02;18710
ATM_Trans_Days  - 04;EBanking_Usage  - 05;18696
ATM_Trans_Days  + 03;CSI  - 04;18677
Public_Sector_Payments  + 04;Card_Purchases  - 05;18659
Salary  - 03;Card_Purchases  + 04;18632
Remmitances_In  - 03;AUM  + 04;18591
